a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
11 0B 7D 8C A8 BF D5 E2 06B6 F6AC -2.332031 -2.332031 0.000000
24 40 EE 3D E6 2F 8D AE F9DB F67F -2.375977 -2.375977 0.000000
A0 51 65 C8 3B 83 3B 25 FC99 CE1B -12.473633 -12.473633 0.000000
04 2E 34 5C B4 91 86 B2 00A7 B6B5 -18.323242 -18.323242 0.000000
CC 0B 76 42 52 C6 CD 71 01E2 F45C -2.910156 -2.910156 0.000000
A3 86 94 29 C7 17 73 69 FE0E E81A -5.974609 -5.974609 0.000000
66 17 83 A5 11 0D 2E FD FDC0 F04C -3.925781 -3.925781 0.000000
F9 31 FE 05 46 F2 FA 4E FD22 FA1C -1.472656 -1.472656 0.000000
BA 74 4B AC AB D3 B7 86 003F 15BE 5.435547 5.435547 0.000000
93 2E A5 C8 E4 8E 76 4C 01AF BE8D -16.362305 -16.362305 0.000000
4E 69 00 00 2A B2 86 CD 0774 F442 -2.935547 -2.935547 0.000000
37 79 D8 ED F4 D1 0E EE 008F E6EA -6.271484 -6.271484 0.000000
2E 56 B8 E1 EE DF 22 8C 0763 FD8D -0.612305 -0.612305 0.000000
01 E5 DC 6B B8 E5 C5 39 0154 2404 9.003906 9.003906 0.000000
8E 5D 75 7F CD 1F 4C 1C 0311 55AA 21.416016 21.416016 0.000000
40 C8 28 B9 40 6E AF 40 F850 D1D8 -11.539062 -11.539062 0.000000
6A E2 81 2B A6 9F 61 A6 066D AD4A -20.677734 -20.677734 0.000000
B6 C7 27 2C 2F EE 40 F0 03A4 0110 0.265625 0.265625 0.000000
E3 C8 40 06 E9 B1 8D 87 FEAE F2FB -3.254883 -3.254883 0.000000
5A 4C C4 E7 DD 18 C6 1F FC5B 01BE 0.435547 0.435547 0.000000
6C 8E 07 66 B9 D4 F6 DB FFA6 E646 -6.431641 -6.431641 0.000000
3C 70 2A 13 5A 6E 8E 9A F828 231A 8.775391 8.775391 0.000000
67 76 4B 1D 00 53 DC E0 FE6E 1684 5.628906 5.628906 0.000000
09 DA 5B 22 31 BC 21 F0 F8F8 0E64 3.597656 3.597656 0.000000
D9 BC 4F D8 FA 7E 81 25 03FF B678 -18.382812 -18.382812 0.000000
2A AC 58 8A 12 77 A7 57 0222 9758 -26.164062 -26.164062 0.000000
FB 0B F9 33 F5 92 1A EA 00D6 F73B -2.192383 -2.192383 0.000000
0D 74 AA E2 47 4E 46 C3 0190 1825 6.036133 6.036133 0.000000
4B 92 7F E4 8F B5 20 54 0214 07E3 1.971680 1.971680 0.000000
