a0 a1 a2 a3 b0 b1 b2 b3 c0 sim_hex sim_val golden_val abs_error
C4 46 D0 BA 4A CB 4D D2 4D E8 -64.000000 -67.250000 3.250000
C7 CF AC D1 AF 4B 4A C5 BD D3 -11.000000 -13.742188 2.742188
B6 D2 CA C1 A6 4B B7 4F 4D E7 -60.000000 -60.496094 0.496094
40 C3 C8 CB 46 50 29 CC CB 53 11.000000 11.375000 0.375000
51 50 D2 50 2B CC C8 B7 4E CF -7.500000 -5.406250 2.093750
3A 51 49 47 D0 47 CE C3 51 D2 -10.000000 -9.062500 0.937500
C7 51 4F 40 42 44 52 A8 46 6C 96.000000 95.625000 0.375000
39 C9 C9 4F 4A 50 D2 4E C5 68 64.000000 63.875000 0.125000
CF 51 D0 51 47 4E BA 45 4C 6A 80.000000 80.125000 0.125000
CF CD 50 49 D1 52 C3 2D 49 D5 -13.000000 -13.171875 0.171875
B3 48 CF C6 3C D2 4B 50 51 EC -96.000000 -101.281250 5.281250
45 CF C9 D0 51 4A D0 52 C4 E6 -56.000000 -55.250000 0.750000
C9 44 D0 C7 48 48 21 4F 4E DE -28.000000 -28.250000 0.250000
4B C9 BB 51 4F BA 49 22 49 62 40.000000 46.593750 6.593750
3C CF CD CC C5 CF 4B C5 52 63 44.000000 45.125000 1.125000
48 4C CB B5 39 D1 CF 4C 4B CF -7.500000 -7.625000 0.125000
CB 44 CF 4A D1 4F 45 D0 3F 50 8.000000 9.500000 1.500000
48 43 CD C6 C3 3D C2 D0 CA 60 32.000000 32.718750 0.718750
95 C8 4D 2E AE C9 CC 52 49 D4 -12.000000 -12.102783 0.102783
38 31 C1 C1 50 4B CB D0 CC 61 36.000000 35.468750 0.531250
51 51 D0 BB 44 C5 B1 AF CF C7 -3.750000 -4.605469 0.855469
C9 50 CF C2 1D CB C6 D0 D0 CC -6.000000 -6.207031 0.207031
